file,convergence_rate,convergence_rate_type,converged_epoch,converged_basis,final_loss,stagnation_detected,optimizer,seed
Robustness_Rosenbrock_SAM_Adam_start4_seed42.csv,0.0001850531886169,fallback_log_slope,20,practical_90pct,0.0051579102873802,False,SAM,42
Robustness_Rosenbrock_SAM_Adam_start4_seed456.csv,0.0001850531886169,fallback_log_slope,20,practical_90pct,0.0051579102873802,False,SAM,456
Robustness_Rosenbrock_SAM_Adam_start4_seed789.csv,0.0001850531886169,fallback_log_slope,20,practical_90pct,0.0051579102873802,False,SAM,789
Robustness_Rosenbrock_SAM_Adam_start5_seed1011.csv,0.0008820412721603,fallback_log_slope,10,practical_90pct,0.0061399433761835,False,SAM,1011
Robustness_Rosenbrock_SAM_Adam_start5_seed1213.csv,0.0008820412721603,fallback_log_slope,10,practical_90pct,0.0061399433761835,False,SAM,1213
Robustness_Rosenbrock_SAM_Adam_start5_seed123.csv,0.0008820412721603,fallback_log_slope,10,practical_90pct,0.0061399433761835,False,SAM,123
Robustness_Rosenbrock_SAM_Adam_start5_seed1415.csv,0.0008820412721603,fallback_log_slope,10,practical_90pct,0.0061399433761835,False,SAM,1415
Robustness_Rosenbrock_SAM_Adam_start5_seed1617.csv,0.0008820412721603,fallback_log_slope,10,practical_90pct,0.0061399433761835,False,SAM,1617
Robustness_Rosenbrock_SAM_Adam_start5_seed1819.csv,0.0008820412721603,fallback_log_slope,10,practical_90pct,0.0061399433761835,False,SAM,1819
Robustness_Rosenbrock_SAM_Adam_start5_seed2021.csv,0.0008820412721603,fallback_log_slope,10,practical_90pct,0.0061399433761835,False,SAM,2021
Robustness_Rosenbrock_SAM_Adam_start5_seed42.csv,0.0008820412721603,fallback_log_slope,10,practical_90pct,0.0061399433761835,False,SAM,42
Robustness_Rosenbrock_SAM_Adam_start5_seed456.csv,0.0008820412721603,fallback_log_slope,10,practical_90pct,0.0061399433761835,False,SAM,456
Robustness_Rosenbrock_SAM_Adam_start5_seed789.csv,0.0008820412721603,fallback_log_slope,10,practical_90pct,0.0061399433761835,False,SAM,789
Robustness_Rosenbrock_SAM_Adam_start6_seed1011.csv,0.0002100467584325,fallback_log_slope,90,practical_90pct,0.0051258336752653,False,SAM,1011
Robustness_Rosenbrock_SAM_Adam_start6_seed1213.csv,0.0002100467584325,fallback_log_slope,90,practical_90pct,0.0051258336752653,False,SAM,1213
Robustness_Rosenbrock_SAM_Adam_start6_seed123.csv,0.0002100467584325,fallback_log_slope,90,practical_90pct,0.0051258336752653,False,SAM,123
Robustness_Rosenbrock_SAM_Adam_start6_seed1415.csv,0.0002100467584325,fallback_log_slope,90,practical_90pct,0.0051258336752653,False,SAM,1415
Robustness_Rosenbrock_SAM_Adam_start6_seed1617.csv,0.0002100467584325,fallback_log_slope,90,practical_90pct,0.0051258336752653,False,SAM,1617
Robustness_Rosenbrock_SAM_Adam_start6_seed1819.csv,0.0002100467584325,fallback_log_slope,90,practical_90pct,0.0051258336752653,False,SAM,1819
Robustness_Rosenbrock_SAM_Adam_start6_seed2021.csv,0.0002100467584325,fallback_log_slope,90,practical_90pct,0.0051258336752653,False,SAM,2021
Robustness_Rosenbrock_SAM_Adam_start6_seed42.csv,0.0002100467584325,fallback_log_slope,90,practical_90pct,0.0051258336752653,False,SAM,42
Robustness_Rosenbrock_SAM_Adam_start6_seed456.csv,0.0002100467584325,fallback_log_slope,90,practical_90pct,0.0051258336752653,False,SAM,456
Robustness_Rosenbrock_SAM_Adam_start6_seed789.csv,0.0002100467584325,fallback_log_slope,90,practical_90pct,0.0051258336752653,False,SAM,789
