iteration,loss,grad_norm,optimizer,elapsed_seconds,test_acc
210,5.828591823577881,10.0,SAM_SGD_start4,0.21,0.5
211,8.757699966430664,10.0,SAM_SGD_start4,0.211,0.5
212,5.828591823577881,10.0,SAM_SGD_start4,0.212,0.5
213,8.757699966430664,10.0,SAM_SGD_start4,0.213,0.5
214,5.828591823577881,10.0,SAM_SGD_start4,0.214,0.5
215,8.757699966430664,10.0,SAM_SGD_start4,0.215,0.5
216,5.828591823577881,10.0,SAM_SGD_start4,0.216,0.5
217,8.757699966430664,10.0,SAM_SGD_start4,0.217,0.5
218,5.828591823577881,10.0,SAM_SGD_start4,0.218,0.5
219,8.757699966430664,10.0,SAM_SGD_start4,0.219,0.5
220,5.828591823577881,10.0,SAM_SGD_start4,0.22,0.5
221,8.757699966430664,10.0,SAM_SGD_start4,0.221,0.5
222,5.828591823577881,10.0,SAM_SGD_start4,0.222,0.5
223,8.757699966430664,10.0,SAM_SGD_start4,0.223,0.5
224,5.828591823577881,10.0,SAM_SGD_start4,0.224,0.5
225,8.757699966430664,10.0,SAM_SGD_start4,0.225,0.5
226,5.828591823577881,10.0,SAM_SGD_start4,0.226,0.5
227,8.757699966430664,10.0,SAM_SGD_start4,0.227,0.5
228,5.828591823577881,10.0,SAM_SGD_start4,0.228,0.5
229,8.757699966430664,10.0,SAM_SGD_start4,0.229,0.5
230,5.828591823577881,10.0,SAM_SGD_start4,0.23,0.5
231,8.757699966430664,10.0,SAM_SGD_start4,0.231,0.5
232,5.828591823577881,10.0,SAM_SGD_start4,0.232,0.5
233,8.757699966430664,10.0,SAM_SGD_start4,0.233,0.5
234,5.828591823577881,10.0,SAM_SGD_start4,0.234,0.5
235,8.757699966430664,10.0,SAM_SGD_start4,0.235,0.5
236,5.828591823577881,10.0,SAM_SGD_start4,0.236,0.5
237,8.757699966430664,10.0,SAM_SGD_start4,0.237,0.5
238,5.828591823577881,10.0,SAM_SGD_start4,0.238,0.5
239,8.757699966430664,10.0,SAM_SGD_start4,0.239,0.5
240,5.828591823577881,10.0,SAM_SGD_start4,0.24,0.5
241,8.757699966430664,10.0,SAM_SGD_start4,0.241,0.5
242,5.828591823577881,10.0,SAM_SGD_start4,0.242,0.5
243,8.757699966430664,10.0,SAM_SGD_start4,0.243,0.5
244,5.828591823577881,10.0,SAM_SGD_start4,0.244,0.5
245,8.757699966430664,10.0,SAM_SGD_start4,0.245,0.5
246,5.828591823577881,10.0,SAM_SGD_start4,0.246,0.5
247,8.757699966430664,10.0,SAM_SGD_start4,0.247,0.5
248,5.828591823577881,10.0,SAM_SGD_start4,0.248,0.5
249,8.757699966430664,10.0,SAM_SGD_start4,0.249,0.5
250,5.828591823577881,10.0,SAM_SGD_start4,0.25,0.5
251,8.757699966430664,10.0,SAM_SGD_start4,0.251,0.5
252,5.828591823577881,10.0,SAM_SGD_start4,0.252,0.5
253,8.757699966430664,10.0,SAM_SGD_start4,0.253,0.5
254,5.828591823577881,10.0,SAM_SGD_start4,0.254,0.5
255,8.757699966430664,10.0,SAM_SGD_start4,0.255,0.5
256,5.828591823577881,10.0,SAM_SGD_start4,0.256,0.5
257,8.757699966430664,10.0,SAM_SGD_start4,0.257,0.5
258,5.828591823577881,10.0,SAM_SGD_start4,0.258,0.5
259,8.757699966430664,10.0,SAM_SGD_start4,0.259,0.5
260,5.828591823577881,10.0,SAM_SGD_start4,0.26,0.5
261,8.757699966430664,10.0,SAM_SGD_start4,0.261,0.5
262,5.828591823577881,10.0,SAM_SGD_start4,0.262,0.5
263,8.757699966430664,10.0,SAM_SGD_start4,0.263,0.5
264,5.828591823577881,10.0,SAM_SGD_start4,0.264,0.5
265,8.757699966430664,10.0,SAM_SGD_start4,0.265,0.5
266,5.828591823577881,10.0,SAM_SGD_start4,0.266,0.5
267,8.757699966430664,10.0,SAM_SGD_start4,0.267,0.5
268,5.828591823577881,10.0,SAM_SGD_start4,0.268,0.5
269,8.757699966430664,10.0,SAM_SGD_start4,0.269,0.5
270,5.828591823577881,10.0,SAM_SGD_start4,0.27,0.5
271,8.757699966430664,10.0,SAM_SGD_start4,0.271,0.5
272,5.828591823577881,10.0,SAM_SGD_start4,0.272,0.5
273,8.757699966430664,10.0,SAM_SGD_start4,0.273,0.5
274,5.828591823577881,10.0,SAM_SGD_start4,0.274,0.5
275,8.757699966430664,10.0,SAM_SGD_start4,0.275,0.5
276,5.828591823577881,10.0,SAM_SGD_start4,0.276,0.5
277,8.757699966430664,10.0,SAM_SGD_start4,0.277,0.5
278,5.828591823577881,10.0,SAM_SGD_start4,0.278,0.5
