path,ok,rows,cols,na_cells,inf_cells,issue
experiments/ablation/Ablation_2D_Rosenbrock_SAM_SGD_seed1415.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SAM_SGD_seed1617.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SAM_SGD_seed1819.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SAM_SGD_seed2021.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SAM_SGD_seed42.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SAM_SGD_seed456.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SAM_SGD_seed789.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed1011.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed1213.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed123.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed1415.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed1617.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed1819.csv,True,776,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed2021.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed42.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed456.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed789.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_seed1011.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_seed1213.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_seed123.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_seed1415.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_seed1617.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_seed1819.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_seed2021.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_seed42.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_seed456.csv,True,1000,5,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_SGD_seed789.csv,True,1000,5,0,0,
experiments/ablation/ablation_results.csv,True,50,15,50,0,
