experiment,file,rows,seed,max_epoch,n_epoch_points,max_iter,n_iter_points
highdim,highdim/HighDim_Dim200_SGD_seed456.csv,371,456.0,,,370.0,371.0
highdim,highdim/HighDim_Dim200_SGD_seed789.csv,367,789.0,,,366.0,367.0
highdim,highdim/highdim_results.csv,60,,375.0,41.0,376.0,41.0
hyperparameter_heatmaps,hyperparameter_heatmaps/adam_beta_heatmap_data.csv,225,,5000.0,3.0,5000.0,3.0
hyperparameter_heatmaps,hyperparameter_heatmaps/momentum_beta_heatmap_data.csv,300,,5000.0,18.0,5000.0,18.0
hyperparam_sensitivity,hyperparam_sensitivity/adam_beta_sweep_rosenbrock.csv,64,,-1.0,1.0,1501.0,1.0
hyperparam_sensitivity,hyperparam_sensitivity/hyperparam_sensitivity_results.csv,76,,-1.0,1.0,1501.0,2.0
hyperparam_sensitivity,hyperparam_sensitivity/momentum_beta_sweep_ackley.csv,6,,-1.0,1.0,1001.0,1.0
hyperparam_sensitivity,hyperparam_sensitivity/momentum_beta_sweep_rosenbrock.csv,6,,-1.0,1.0,1501.0,1.0
init_ablation,init_ablation/InitAblation_kaiming_normal_AdamW_seed1011.csv,10,1011.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_AdamW_seed1213.csv,10,1213.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_AdamW_seed123.csv,10,123.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_AdamW_seed1415.csv,10,1415.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_AdamW_seed1617.csv,10,1617.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_AdamW_seed1819.csv,10,1819.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_AdamW_seed2021.csv,10,2021.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_AdamW_seed42.csv,10,42.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_AdamW_seed456.csv,10,456.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_AdamW_seed789.csv,10,789.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_Adam_seed1011.csv,2,1011.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_Adam_seed1213.csv,2,1213.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_Adam_seed123.csv,2,123.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_Adam_seed1415.csv,2,1415.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_Adam_seed1617.csv,2,1617.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_Adam_seed1819.csv,2,1819.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_Adam_seed2021.csv,2,2021.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_Adam_seed42.csv,2,42.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_Adam_seed456.csv,2,456.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_Adam_seed789.csv,2,789.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed1011.csv,10,1011.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed1213.csv,10,1213.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed123.csv,10,123.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed1415.csv,10,1415.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed1617.csv,10,1617.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed1819.csv,10,1819.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed2021.csv,10,2021.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed42.csv,10,42.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed456.csv,10,456.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_Momentum_seed789.csv,10,789.0,10.0,10.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_seed1011.csv,2,1011.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_seed1213.csv,2,1213.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_seed123.csv,2,123.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_seed1415.csv,2,1415.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_seed1617.csv,2,1617.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_seed1819.csv,2,1819.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_seed2021.csv,2,2021.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_seed42.csv,2,42.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_seed456.csv,2,456.0,2.0,2.0,,
init_ablation,init_ablation/InitAblation_kaiming_normal_SGD_seed789.csv,2,789.0,2.0,2.0,,
